# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	10837	11073	+					rpsR		lp_0011	237		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	10837	11073	+	CCC77588.1			30S ribosomal protein S18	rpsR		lp_0011	237	78	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	11254	13266	+							lp_0012	2013		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	11254	13266	+	CCC77589.1			phosphoesterase, DHH family			lp_0012	2013	670	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	13279	13731	+					rplI		lp_0013	453		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	13279	13731	+	CCC77590.1			50S ribosomal protein L9	rplI		lp_0013	453	150	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	13747	15171	+					dnaC		lp_0014	1425		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	13747	15171	+	CCC77591.1			replicative DNA helicase DnaC	dnaC		lp_0014	1425	474	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	15393	16616	+							lp_0015	1224		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	15393	16616	+	CCC77592.1			transport protein, major facilitator superfamily (MFS)			lp_0015	1224	407	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	16638	17435	+					proB		lp_0016	798		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	16638	17435	+	CCC77593.1			glutamate 5-kinase	proB		lp_0016	798	265	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	17454	18692	+					proA		lp_0017	1239		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	17454	18692	+	CCC77594.1			glutamate-5-semialdehyde dehydrogenase	proA		lp_0017	1239	412	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	19153	20769	+							lp_0018	1617		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	19153	20769	+	CCC77595.1			oligopeptide ABC transporter,oligopeptide-binding protein			lp_0018	1617	538	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	21099	23003	+					glgB		lp_0020	1905		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	21099	23003	+	CCC77596.1			1,4-alpha-glucan branching enzyme	glgB		lp_0020	1905	634	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	22993	24132	+					glgC		lp_0021	1140		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	22993	24132	+	CCC77597.1			glucose-1-P adenylyltransferase, enzymatic subunit	glgC		lp_0021	1140	379	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	24129	25301	+					glgD		lp_0022	1173		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	24129	25301	+	CCC77598.1			glucose-1-P adenylyltransferase, regulatory subunit	glgD		lp_0022	1173	390	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	25294	26733	+					glgA		lp_0023	1440		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	25294	26733	+	CCC77599.1			glycogen synthase, ADP-glucose transglycosylase	glgA		lp_0023	1440	479	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	26753	29149	+					glgP		lp_0024	2397		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	26753	29149	+	CCC77600.1			glycogen phosphorylase	glgP		lp_0024	2397	798	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	29167	30984	+					malZ		lp_0025	1818		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	29167	30984	+	CCC77601.1			maltodextrin glucosidase	malZ		lp_0025	1818	605	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	31317	32084	+							lp_0026	768		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	31317	32084	+	CCC77602.1			hydrolase, HAD superfamily, Cof family			lp_0026	768	255	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	32236	32907	-					pgmB1		lp_0027	672		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	32236	32907	-	CCC77603.1			beta-phosphoglucomutase	pgmB1		lp_0027	672	223	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	32925	35645	-							lp_0028	2721		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	32925	35645	-	CCC77604.1			kojibiose-like phosphorylase, specific			lp_0028	2721	906	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36033	36482	-							lp_0030	450		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36033	36482	-	CCC77605.1			pyridoxamine 5'-phosphate oxidase family protein, FMN-binding			lp_0030	450	149	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36680	36880	+					cspL		lp_0031	201		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36680	36880	+	CCC77606.1			cold shock protein CspL	cspL		lp_0031	201	66	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36972	37196	+							lp_0032	225		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	36972	37196	+	CCC77607.1			hypothetical protein			lp_0032	225	74	
gene	tRNA	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	37371	37446	-							lp_tRNA01	76		
tRNA		GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	37371	37446	-				tRNA-Lys			lp_tRNA01	76		
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	37770	38477	+					rrp1		lp_0036	708		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	37770	38477	+	CCC77608.1			two-component system response regulator	rrp1		lp_0036	708	235	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	38491	40365	+					hpk1		lp_0037	1875		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	38491	40365	+	CCC77609.1			two-component system histidine protein kinase; sensor protein	hpk1		lp_0037	1875	624	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	40346	41671	+							lp_0038	1326		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	40346	41671	+	CCC77610.1			regulator of two-component system, YycH family			lp_0038	1326	441	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	41683	42537	+							lp_0039	855		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	41683	42537	+	CCC77611.1			regulator of two-component system, YycI family			lp_0039	855	284	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	42895	43710	+							lp_0041	816		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	42895	43710	+	CCC77612.1			Zn-dependent hydrolase, beta-lactamase superfamily			lp_0041	816	271	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	43821	45083	+					htrA		lp_0043	1263		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	43821	45083	+	CCC77613.1			serine protease HtrA	htrA		lp_0043	1263	420	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	45638	46117	+					rlmH		lp_0045	480		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	45638	46117	+	CCC77614.1			ribosomal RNA large subunit methyltransferase H	rlmH		lp_0045	480	159	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	46600	47175	+							lp_0046	576		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	46600	47175	+	CCC77615.1			transcription regulator, TetR family			lp_0046	576	191	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	47239	48669	+					calB		lp_0047	1431		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	47239	48669	+	CCC77616.1			coniferyl aldehyde dehydrogenase	calB		lp_0047	1431	476	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	48877	49509	+							lp_0048	633		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	48877	49509	+	CCC77617.1			uracil-DNA glycosylase family protein			lp_0048	633	210	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	49758	50408	+					pnbA		lp_0050	651		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	49758	50408	+	CCC77618.1			nitrobenzoate reductase	pnbA		lp_0050	651	216	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	50524	50892	+							lp_0052	369		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	50524	50892	+	CCC77619.1			6-pyruvoyl-tetrahydropterin synthase family protein			lp_0052	369	122	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	50960	51607	-							lp_0053	648		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	50960	51607	-	CCC77620.1			fibronectin-binding protein			lp_0053	648	215	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	51804	52637	-							lp_0054	834		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	51804	52637	-	CCC77621.1			hypothetical protein, DUF2785 family			lp_0054	834	277	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	52791	55160	-							lp_0055	2370		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	52791	55160	-	CCC77622.1			fumarate reductase, flavoprotein subunit precursor			lp_0055	2370	789	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	55625	57040	+							lp_0056	1416		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	55625	57040	+	CCC77623.1			divalent anion:sodium (Na+) symporter, DASS family			lp_0056	1416	471	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	57150	58037	+							lp_0057	888		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	57150	58037	+	CCC77624.1			transcription regulator, LysR family			lp_0057	888	295	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	58107	58532	-							lp_0058	426		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	58107	58532	-	CCC77625.1			flavoprotein			lp_0058	426	141	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	58868	59293	+					arsC		lp_0059	426		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	58868	59293	+	CCC77626.1			arsenate reductase	arsC		lp_0059	426	141	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	59613	60473	+							lp_0060	861		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	59613	60473	+	CCC77627.1			short-chain dehydrogenase/oxidoreductase			lp_0060	861	286	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	60505	61350	+					adc		lp_0061	846		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	60505	61350	+	CCC77628.1			acetoacetate decarboxylase	adc		lp_0061	846	281	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	61378	62031	+							lp_0062	654		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	61378	62031	+	CCC77629.1			nitroreductase family protein			lp_0062	654	217	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	62200	63735	+							lp_0063	1536		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	62200	63735	+	CCC77630.1			hypothetical protein			lp_0063	1536	511	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	64066	64737	+					pgmB2		lp_0066	672		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	64066	64737	+	CCC77631.1			beta-phosphoglucomutase	pgmB2		lp_0066	672	223	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	64823	65839	-					pva1		lp_0067	1017		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	64823	65839	-	CCC77632.1			penicillin V acylase family protein	pva1		lp_0067	1017	338	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	66113	67456	+							lp_0068	1344		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	66113	67456	+	CCC77633.1			hypothetical membrane protein, DUF1212 family			lp_0068	1344	447	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	67605	68351	+					ptp1		lp_0069	747		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	67605	68351	+	CCC77634.1			protein-tyrosine phosphatase	ptp1		lp_0069	747	248	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	68424	69671	-							lp_0070	1248		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	68424	69671	-	CCC77635.1			4-hydroxyphenylacetate-3-hydroxylase,C-terminus (pseudogene)			lp_0070	1248	415	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	69747	69860	-							lp_0071	114		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	69747	69860	-	CCC77636.1			4-hydroxyphenylacetate-3-hydroxylase,N-terminus (pseudogene)			lp_0071	114	37	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	69943	70392	-							lp_0072	450		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	69943	70392	-	CCC77637.1			RNA-binding protein, ASCH domain			lp_0072	450	149	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	70536	71204	+							lp_0073	669		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	70536	71204	+	CCC77638.1			glutamine amidotransferase class-I			lp_0073	669	222	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	71292	72212	-							lp_0074	921		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	71292	72212	-	CCC77639.1			transcription regulator, DeoR family			lp_0074	921	306	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	72330	72977	+					azoR1		lp_0075	648		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	72330	72977	+	CCC77640.1			FMN-dependent NADH-azoreductase	azoR1		lp_0075	648	215	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	73239	75257	+					fusA1		lp_0076	2019		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	73239	75257	+	CCC77641.1			elongation factor G	fusA1		lp_0076	2019	672	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	75275	75961	+							lp_0077	687		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	75275	75961	+	CCC77642.1			hypothetical protein, DUF1835 and DUF3658 family domains			lp_0077	687	228	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	75967	76851	+							lp_0078	885		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	75967	76851	+	CCC77643.1			permease, drug/metabolite transporter (DMT) superfamily			lp_0078	885	294	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	77039	77530	+							lp_0080	492		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	77039	77530	+	CCC77644.1			acetyltransferase, GNAT family			lp_0080	492	163	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	77561	78235	-							lp_0081	675		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	77561	78235	-	CCC77645.1			ThiJ/PfpI family protein, Type 1 glutamine amidotransferase (GATase1)-like domain			lp_0081	675	224	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	78281	79285	-							lp_0082	1005		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	78281	79285	-	CCC77646.1			medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein			lp_0082	1005	334	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	79452	79775	+							lp_0083	324		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	79452	79775	+	CCC77647.1			transcription regulator, ArsR family			lp_0083	324	107	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	79946	81280	-							lp_0085	1335		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	79946	81280	-	CCC77648.1			multidrug extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps			lp_0085	1335	444	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	82652	83515	+					pepI		lp_0088	864		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	82652	83515	+	CCC77649.1			prolyl aminopeptidase	pepI		lp_0088	864	287	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	83697	84443	-							lp_0089	747		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	83697	84443	-	CCC77650.1			hypothetical protein, DUF328 family			lp_0089	747	248	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	84613	85047	+							lp_0091	435		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	84613	85047	+	CCC77651.1			pyridoxamine 5'-phosphate oxidase family protein, FMN-binding			lp_0091	435	144	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	85149	86792	-							lp_0092	1644		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	85149	86792	-	CCC77652.1			oligopeptide ABC transporter,lipoprotein-binding protein			lp_0092	1644	547	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	87460	88209	+							lp_0096	750		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	87460	88209	+	CCC77653.1			hypothetical protein			lp_0096	750	249	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	88467	89246	+							lp_0098	780		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	88467	89246	+	CCC77654.1			adenylyl transferase			lp_0098	780	259	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	89314	89547	-							lp_0099	234		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	89314	89547	-	CCC77655.1			hypothetical protein			lp_0099	234	77	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	89568	90293	-							lp_0100	726		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	89568	90293	-	CCC77656.1			cobalt ABC transporter, ATP-binding protein			lp_0100	726	241	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	90301	91122	-							lp_0101	822		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	90301	91122	-	CCC77657.1			cobalt ABC transporter, permease protein			lp_0101	822	273	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	91097	92083	-					cbiM		lp_0102	987		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	91097	92083	-	CCC77658.1			cobalt ABC transporter, substrate-binding protein	cbiM		lp_0102	987	328	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	92098	92763	-							lp_0103	666		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	92098	92763	-	CCC77659.1			transcription regulator, Crp/FNR family			lp_0103	666	221	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	93016	94290	+					larA		lp_0104	1275		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	93016	94290	+	CCC77660.1			lactate racemization operon protein LarA	larA		lp_0104	1275	424	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	94292	95032	+					larB		lp_0105	741		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	94292	95032	+	CCC77661.1			lactate racemization operon protein LarB	larB		lp_0105	741	246	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	95063	95854	+					larC1		lp_0106	792		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	95063	95854	+	CCC77662.1			lactate racemization operon protein LarC,N-terminal domain	larC1		lp_0106	792	263	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	95893	96324	+					larC2		lp_0107	432		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	95893	96324	+	CCC77663.1			lactate racemization operon protein LarC,C-terminal domain	larC2		lp_0107	432	143	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	96329	97045	+					glpF1		lp_0108	717		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	96329	97045	+	CCC77664.1			glycerol uptake facilitator protein	glpF1		lp_0108	717	238	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	97070	97900	+					larE		lp_0109	831		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	97070	97900	+	CCC77665.1			lactate racemization operon protein LarE	larE		lp_0109	831	276	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	98100	99077	-							lp_0111	978		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	98100	99077	-	CCC77666.1			medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein			lp_0111	978	325	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	99433	100224	+					thiM		lp_0113	792		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	99433	100224	+	CCC77667.1			hydroxyethylthiazole kinase	thiM		lp_0113	792	263	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	100250	101074	+					thiD		lp_0114	825		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	100250	101074	+	CCC77668.1			phosphomethylpyrimidine kinase & hydroxymethylpyrimidine kinase	thiD		lp_0114	825	274	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	101064	101717	+					thiE		lp_0115	654		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	101064	101717	+	CCC77669.1			thiamine-phosphate pyrophosphorylase	thiE		lp_0115	654	217	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	101717	102916	+					thiP		lp_0116	1200		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	101717	102916	+	CCC77670.1			hydroxymethylpyrimidine permease	thiP		lp_0116	1200	399	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	102998	103738	+							lp_0117	741		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	102998	103738	+	CCC77671.1			glutamine amidotransferase, class I			lp_0117	741	246	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	103981	105573	+							lp_0118	1593		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	103981	105573	+	CCC77672.1			DNA-binding protein with HIRAN domain			lp_0118	1593	530	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	105689	106159	-							lp_0119	471		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	105689	106159	-	CCC77673.1			NTP pyrophosphohydrolase			lp_0119	471	156	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	106392	107756	+							lp_0120	1365		
