# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	24129	25301	+	WP_003641646.1	WP_003641646.1		glucose-1-phosphate adenylyltransferase subunit GlgD	glgD		LP_RS00095	1173	390	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	25294	26733	+					glgA		LP_RS00100	1440		old_locus_tag=lp_0023
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	25294	26733	+	WP_011100853.1	WP_011100853.1		glycogen synthase GlgA	glgA		LP_RS00100	1440	479	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	26753	29149	+							LP_RS00105	2397		old_locus_tag=lp_0024
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	26753	29149	+	WP_003643612.1	WP_003643612.1		glycogen/starch/alpha-glucan phosphorylase			LP_RS00105	2397	798	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	29167	30984	+							LP_RS00110	1818		old_locus_tag=lp_0025
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	29167	30984	+	WP_011100854.1	WP_011100854.1		glycoside hydrolase family 13 protein			LP_RS00110	1818	605	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	31317	32084	+							LP_RS00115	768		old_locus_tag=lp_0026
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	31317	32084	+	WP_003641650.1	WP_003641650.1		Cof-type HAD-IIB family hydrolase			LP_RS00115	768	255	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	32236	32907	-					pgmB		LP_RS00120	672		old_locus_tag=lp_0027
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	32236	32907	-	WP_003641651.1	WP_003641651.1		beta-phosphoglucomutase	pgmB		LP_RS00120	672	223	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	32925	35645	-							LP_RS00125	2721		old_locus_tag=lp_0028
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	32925	35645	-	WP_011100855.1	WP_011100855.1		glycoside hydrolase family 65 protein			LP_RS00125	2721	906	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36033	36482	-							LP_RS00130	450		old_locus_tag=lp_0030
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36033	36482	-	WP_003641653.1	WP_003641653.1		pyridoxamine 5'-phosphate oxidase family protein			LP_RS00130	450	149	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36680	36880	+							LP_RS00135	201		old_locus_tag=lp_0031
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36680	36880	+	WP_003643615.1	WP_003643615.1		cold-shock protein			LP_RS00135	201	66	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36972	37196	+							LP_RS00140	225		old_locus_tag=lp_0032
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	36972	37196	+	WP_003641655.1	WP_003641655.1		hypothetical protein			LP_RS00140	225	74	
gene	tRNA	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	37374	37446	-							LP_RS00145	73		old_locus_tag=lp_tRNA01
tRNA		GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	37374	37446	-				tRNA-Lys			LP_RS00145	73		anticodon=CTT
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	37770	38477	+					yycF		LP_RS00150	708		old_locus_tag=lp_0036
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	37770	38477	+	WP_011100856.1	WP_011100856.1		response regulator YycF	yycF		LP_RS00150	708	235	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	38491	40365	+					walK		LP_RS00155	1875		old_locus_tag=lp_0037
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	38491	40365	+	WP_003641656.1	WP_003641656.1		cell wall metabolism sensor histidine kinase WalK	walK		LP_RS00155	1875	624	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	40346	41671	+					yycH		LP_RS00160	1326		old_locus_tag=lp_0038
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	40346	41671	+	WP_003646176.1	WP_003646176.1		two-component system activity regulator YycH	yycH		LP_RS00160	1326	441	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	41683	42537	+							LP_RS00165	855		old_locus_tag=lp_0039
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	41683	42537	+	WP_003646175.1	WP_003646175.1		two-component system regulatory protein YycI			LP_RS00165	855	284	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	42895	43710	+							LP_RS00170	816		old_locus_tag=lp_0041
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	42895	43710	+	WP_003641659.1	WP_003641659.1		MBL fold metallo-hydrolase			LP_RS00170	816	271	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	43821	45083	+							LP_RS00175	1263		old_locus_tag=lp_0043
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	43821	45083	+	WP_003641660.1	WP_003641660.1		trypsin-like peptidase domain-containing protein			LP_RS00175	1263	420	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	45638	46117	+					rlmH		LP_RS00180	480		old_locus_tag=lp_0045
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	45638	46117	+	WP_003643636.1	WP_003643636.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		LP_RS00180	480	159	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	46600	47175	+							LP_RS00185	576		old_locus_tag=lp_0046
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	46600	47175	+	WP_011100857.1	WP_011100857.1		TetR/AcrR family transcriptional regulator			LP_RS00185	576	191	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	47239	48669	+							LP_RS00190	1431		old_locus_tag=lp_0047
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	47239	48669	+	WP_011100858.1	WP_011100858.1		coniferyl aldehyde dehydrogenase			LP_RS00190	1431	476	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	48877	49509	+							LP_RS00195	633		old_locus_tag=lp_0048
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	48877	49509	+	WP_003646171.1	WP_003646171.1		uracil-DNA glycosylase family protein			LP_RS00195	633	210	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	49758	50408	+							LP_RS00200	651		old_locus_tag=lp_0050
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	49758	50408	+	WP_011100859.1	WP_011100859.1		nitroreductase			LP_RS00200	651	216	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	50524	50892	+							LP_RS00205	369		old_locus_tag=lp_0052
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	50524	50892	+	WP_003646169.1	WP_003646169.1		6-carboxytetrahydropterin synthase			LP_RS00205	369	122	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	50960	51607	-							LP_RS00210	648		old_locus_tag=lp_0053
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	50960	51607	-	WP_011100860.1	WP_011100860.1		elongation factor G-binding protein			LP_RS00210	648	215	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	51804	52637	-							LP_RS00215	834		old_locus_tag=lp_0054
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	51804	52637	-	WP_011100861.1	WP_011100861.1		DUF2785 domain-containing protein			LP_RS00215	834	277	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	52791	55160	-							LP_RS00220	2370		old_locus_tag=lp_0055
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	52791	55160	-	WP_011100862.1	WP_011100862.1		FAD-binding protein			LP_RS00220	2370	789	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	55625	57040	+							LP_RS00225	1416		old_locus_tag=lp_0056
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	55625	57040	+	WP_003641669.1	WP_003641669.1		DASS family sodium-coupled anion symporter			LP_RS00225	1416	471	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	57150	58037	+							LP_RS00230	888		old_locus_tag=lp_0057
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	57150	58037	+	WP_003643641.1	WP_003643641.1		LysR family transcriptional regulator			LP_RS00230	888	295	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	58107	58532	-							LP_RS00235	426		old_locus_tag=lp_0058
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	58107	58532	-	WP_003641671.1	WP_003641671.1		flavoprotein			LP_RS00235	426	141	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	58868	59293	+					arsC		LP_RS00240	426		old_locus_tag=lp_0059
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	58868	59293	+	WP_003641672.1	WP_003641672.1		arsenate reductase (thioredoxin)	arsC		LP_RS00240	426	141	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	59613	60473	+							LP_RS00245	861		old_locus_tag=lp_0060
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	59613	60473	+	WP_003641673.1	WP_003641673.1		SDR family NAD(P)-dependent oxidoreductase			LP_RS00245	861	286	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	60505	61350	+							LP_RS00250	846		old_locus_tag=lp_0061
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	60505	61350	+	WP_003641674.1	WP_003641674.1		acetoacetate decarboxylase family protein			LP_RS00250	846	281	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	61378	62031	+							LP_RS00255	654		old_locus_tag=lp_0062
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	61378	62031	+	WP_003641675.1	WP_003641675.1		nitroreductase family protein			LP_RS00255	654	217	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	62200	63735	+							LP_RS00260	1536		old_locus_tag=lp_0063
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	62200	63735	+	WP_011100863.1	WP_011100863.1		helix-turn-helix domain-containing protein			LP_RS00260	1536	511	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	64066	64737	+					pgmB		LP_RS00265	672		old_locus_tag=lp_0066
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	64066	64737	+	WP_003643642.1	WP_003643642.1		beta-phosphoglucomutase	pgmB		LP_RS00265	672	223	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	64823	65839	-							LP_RS00270	1017		old_locus_tag=lp_0067
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	64823	65839	-	WP_011100864.1	WP_011100864.1		choloylglycine hydrolase family protein			LP_RS00270	1017	338	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	66113	67456	+							LP_RS00275	1344		old_locus_tag=lp_0068
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	66113	67456	+	WP_003641680.1	WP_003641680.1		threonine/serine exporter family protein			LP_RS00275	1344	447	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	67605	68351	+							LP_RS00280	747		old_locus_tag=lp_0069
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	67605	68351	+	WP_011100865.1	WP_011100865.1		tyrosine-protein phosphatase			LP_RS00280	747	248	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	68424	69740	-							LP_RS00285	1317		old_locus_tag=lp_0070
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	68424	69740	-	WP_101495133.1	WP_101495133.1		4-hydroxyphenylacetate 3-hydroxylase			LP_RS00285	1317	438	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	69943	70392	-							LP_RS00290	450		old_locus_tag=lp_0072
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	69943	70392	-	WP_003646159.1	WP_003646159.1		ASCH domain-containing protein			LP_RS00290	450	149	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	70536	71204	+							LP_RS00295	669		old_locus_tag=lp_0073
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	70536	71204	+	WP_003641684.1	WP_003641684.1		type 1 glutamine amidotransferase			LP_RS00295	669	222	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	71292	72212	-							LP_RS00300	921		old_locus_tag=lp_0074
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	71292	72212	-	WP_011100868.1	WP_011100868.1		WYL domain-containing protein			LP_RS00300	921	306	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	72330	72977	+							LP_RS00305	648		old_locus_tag=lp_0075
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	72330	72977	+	WP_011100869.1	WP_011100869.1		NAD(P)H-dependent oxidoreductase			LP_RS00305	648	215	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	73239	75257	+							LP_RS00310	2019		old_locus_tag=lp_0076
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	73239	75257	+	WP_011100870.1	WP_011100870.1		TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein			LP_RS00310	2019	672	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	75275	75961	+							LP_RS00315	687		old_locus_tag=lp_0077
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	75275	75961	+	WP_011100871.1	WP_011100871.1		DUF3658 domain-containing protein			LP_RS00315	687	228	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	75967	76851	+							LP_RS00320	885		old_locus_tag=lp_0078
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	75967	76851	+	WP_011100872.1	WP_011100872.1		DMT family transporter			LP_RS00320	885	294	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	77039	77530	+							LP_RS00325	492		old_locus_tag=lp_0080
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	77039	77530	+	WP_003641692.1	WP_003641692.1		GNAT family N-acetyltransferase			LP_RS00325	492	163	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	77561	78235	-							LP_RS00330	675		old_locus_tag=lp_0081
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	77561	78235	-	WP_011100873.1	WP_011100873.1		type 1 glutamine amidotransferase domain-containing protein			LP_RS00330	675	224	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	78281	79285	-							LP_RS00335	1005		old_locus_tag=lp_0082
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	78281	79285	-	WP_011100874.1	WP_011100874.1		NADP-dependent oxidoreductase			LP_RS00335	1005	334	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	79452	79775	+							LP_RS00340	324		old_locus_tag=lp_0083
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	79452	79775	+	WP_003641695.1	WP_003641695.1		metalloregulator ArsR/SmtB family transcription factor			LP_RS00340	324	107	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	79946	81280	-							LP_RS00345	1335		old_locus_tag=lp_0085
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	79946	81280	-	WP_011100875.1	WP_011100875.1		MATE family efflux transporter			LP_RS00345	1335	444	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	81483	81638	-							LP_RS15695	156		
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	81483	81638	-	WP_003641697.1	WP_003641697.1		hypothetical protein			LP_RS15695	156	51	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	82631	83515	+							LP_RS00350	885		old_locus_tag=lp_0088
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	82631	83515	+	WP_024272259.1	WP_024272259.1		proline iminopeptidase-family hydrolase			LP_RS00350	885	294	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	83697	84443	-					yaaA		LP_RS00355	747		old_locus_tag=lp_0089
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	83697	84443	-	WP_011100877.1	WP_011100877.1		peroxide stress protein YaaA	yaaA		LP_RS00355	747	248	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	84613	85047	+							LP_RS00360	435		old_locus_tag=lp_0091
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	84613	85047	+	WP_003641701.1	WP_003641701.1		pyridoxamine 5'-phosphate oxidase			LP_RS00360	435	144	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	85149	86792	-							LP_RS00365	1644		old_locus_tag=lp_0092
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	85149	86792	-	WP_011100878.1	WP_011100878.1		peptide ABC transporter substrate-binding protein			LP_RS00365	1644	547	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	87460	88209	+							LP_RS00370	750		old_locus_tag=lp_0096
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	87460	88209	+	WP_011100879.1	WP_011100879.1		hypothetical protein			LP_RS00370	750	249	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	88314	88439	+							LP_RS00375	126		
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	88314	88439	+	WP_003641704.1	WP_003641704.1		hypothetical protein			LP_RS00375	126	41	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	88467	89246	+							LP_RS00380	780		old_locus_tag=lp_0098
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	88467	89246	+	WP_011100880.1	WP_011100880.1		DUF4111 domain-containing protein			LP_RS00380	780	259	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	89314	89547	-							LP_RS00385	234		old_locus_tag=lp_0099
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	89314	89547	-	WP_003641706.1	WP_003641706.1		hypothetical protein			LP_RS00385	234	77	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	89568	90299	-							LP_RS00390	732		old_locus_tag=lp_0100
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	89568	90299	-	WP_013355099.1	WP_013355099.1		energy-coupling factor ABC transporter ATP-binding protein			LP_RS00390	732	243	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	90301	91122	-							LP_RS00395	822		old_locus_tag=lp_0101
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	90301	91122	-	WP_011100882.1	WP_011100882.1		energy-coupling factor transporter transmembrane protein EcfT			LP_RS00395	822	273	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	91097	92083	-					cbiM		LP_RS00400	987		old_locus_tag=lp_0102
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	91097	92083	-	WP_003641709.1	WP_003641709.1		cobalt transporter CbiM	cbiM		LP_RS00400	987	328	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	92098	92763	-							LP_RS00405	666		old_locus_tag=lp_0103
